ID,Seek_Help,Anonymity,Leave,Mental_Health_Consequence,Phys_Health_Consequence,Coworkers,Supervisor,Willingness_Mental_Health,Phys_Health_Interview,Mental_vs_Physical,Obs_Consequence,Age_Tier
290,No,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Young
291,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
292,Don't know,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Middle_Aged
293,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
294,Don't know,Don't know,Don't know,No,Maybe,Yes,Some of them,No,Maybe,Don't know,No,Middle_Aged
295,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,No,No,Young
296,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,Young
297,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,
298,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Matured_Young
299,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
300,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Yes,No,Young
301,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Young
302,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Young
303,Yes,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,No,Yes,No,Young
304,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
305,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Young
306,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
307,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,Yes,Young
308,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
309,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Young
310,Don't know,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,Don't know,No,Young
311,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
312,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,Matured_Young
313,Don't know,Don't know,Don't know,Yes,No,No,No,No,No,No,No,Young
314,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
315,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
316,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Young
317,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
318,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,Yes,Yes,Young
319,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
320,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
321,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,No,Young
322,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
323,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
324,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Young
325,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Young
326,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,Young
327,Yes,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,Young
328,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
329,No,Don't know,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes,Matured_Young
330,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Young
331,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,No,Young
332,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No,Young
333,No,Don't know,Very difficult,No,No,No,No,No,No,Don't know,No,Middle_Aged
334,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,No,No,Young
335,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Middle_Aged
336,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,Young
337,No,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
338,Don't know,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Young
339,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
340,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,No,No,Matured_Young
341,No,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No,Matured_Young
342,Don't know,Don't know,Very easy,Yes,No,No,No,No,Maybe,No,No,Young
343,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
344,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,No,No,Matured_Young
345,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
346,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,Young
347,Yes,Don't know,Don't know,No,No,No,Yes,No,No,Don't know,No,Middle_Aged
348,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
349,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,Young
350,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
351,Yes,Yes,Don't know,No,No,No,No,No,Yes,Yes,No,Young
352,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
353,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Young
354,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,Young
355,Don't know,Yes,Don't know,No,No,Some of them,No,No,No,No,No,Young
356,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
357,Yes,Yes,Don't know,Maybe,Maybe,No,No,No,No,Don't know,No,Matured_Young
358,No,Don't know,Somewhat easy,Yes,Yes,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
359,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
360,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
361,Don't know,Don't know,Somewhat difficult,No,No,Yes,Yes,No,Maybe,Yes,No,Matured_Young
362,Don't know,No,Don't know,Maybe,No,Some of them,Yes,No,Yes,No,No,Young
363,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Yes,Yes,No,Matured_Young
365,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,No,No,Young
366,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
367,No,Yes,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
368,Don't know,Yes,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
369,No,No,Very easy,Yes,No,Some of them,No,No,Maybe,No,No,Young
370,Yes,Yes,Somewhat easy,No,No,No,Some of them,No,No,Yes,No,Young
371,Yes,Don't know,Somewhat difficult,Maybe,No,Yes,Some of them,No,Maybe,No,Yes,Matured_Young
372,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Middle_Aged
373,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
374,No,Don't know,Somewhat easy,Yes,No,Some of them,No,No,Yes,Don't know,No,Young
375,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Middle_Aged
376,No,Yes,Don't know,Yes,Maybe,No,No,No,No,No,No,Young
377,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Yes,No,Young
378,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,Matured_Young
379,Yes,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,Young
380,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
381,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
382,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,Young
383,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Yes,No,No,Young
384,No,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,No,No,Young
385,Don't know,Don't know,Don't know,Maybe,Maybe,No,Yes,No,No,Don't know,No,Young
386,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
387,No,Don't know,Very difficult,Yes,No,Some of them,No,No,Maybe,No,No,Young
388,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,Don't know,No,Young
389,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Yes,Don't know,No,Matured_Young
391,Don't know,Don't know,Somewhat easy,Maybe,Maybe,No,No,No,No,Don't know,No,Matured_Young
392,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,No,No,No,Don't know,No,Young
393,Don't know,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No,Young
394,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,Yes,Young
395,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Young
396,No,Don't know,Don't know,Maybe,Maybe,No,No,No,No,No,No,Middle_Aged
397,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Yes,No,Maybe,No,Yes,Matured_Young
398,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Matured_Young
399,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,Young
400,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,No,No,No,Young
401,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,Young
402,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,No,No,Young
403,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes,Matured_Young
404,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Young
405,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,No,No,Young
406,Yes,Don't know,Don't know,Yes,Maybe,Yes,Some of them,No,No,Yes,No,Matured_Young
407,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Yes,No,Matured_Young
408,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,No,Don't know,No,Young
409,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,Young
410,No,Don't know,Somewhat easy,Yes,No,No,No,No,No,No,No,Matured_Young
411,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No,Maybe,No,No,Young
412,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Young
413,No,Don't know,Don't know,Yes,Maybe,No,No,No,Yes,Yes,No,Young
414,Don't know,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,No,Yes,No,Young
415,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
416,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,No,No,Young
417,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,Young
418,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
419,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,No,No,Yes,Middle_Aged
420,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Young
421,No,Don't know,Don't know,No,No,Some of them,No,No,Yes,Don't know,No,Young
422,No,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Young
423,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
424,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Young
425,Yes,Yes,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Young
426,No,Don't know,Somewhat difficult,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,Young
427,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Young
428,No,Don't know,Don't know,No,No,Yes,No,No,Yes,Don't know,No,Young
429,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Yes,Yes,Yes,No,Young
430,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,Young
431,No,Don't know,Very easy,Yes,No,No,Some of them,No,Yes,Yes,No,Young
432,No,Yes,Somewhat easy,Yes,Maybe,Some of them,Some of them,Yes,Yes,Don't know,No,Matured_Young
433,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
434,No,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
435,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
436,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,Yes,Young
437,Don't know,Yes,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Young
438,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
439,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
440,No,Don't know,Don't know,Maybe,Maybe,No,No,No,Maybe,No,No,Young
441,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No,Matured_Young
442,Yes,Yes,Don't know,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,Yes,Matured_Young
443,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
444,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Young
445,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,Matured_Young
446,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Matured_Young
447,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,No,No,Yes,Young
448,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
449,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
450,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
451,Don't know,Yes,Don't know,Yes,Maybe,No,Some of them,No,Maybe,Yes,No,Matured_Young
452,No,Don't know,Very difficult,Yes,No,Some of them,No,No,No,No,Yes,Young
453,No,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,Don't know,No,Matured_Young
454,Don't know,Don't know,Don't know,Yes,No,No,No,No,Yes,Don't know,No,Young
455,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Yes,Don't know,No,Matured_Young
456,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Young
457,No,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Matured_Young
458,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Yes,Yes,No,Matured_Young
459,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
460,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
461,Yes,Don't know,Very easy,Maybe,No,Some of them,Yes,No,No,Yes,No,Matured_Young
462,No,Don't know,Somewhat easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,Young
463,No,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,No,No,Maybe,No,No,Young
464,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,Yes,No,Maybe,Yes,No,Young
465,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
466,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,Middle_Aged
467,No,No,Very difficult,Yes,Maybe,No,Some of them,No,Maybe,No,No,Young
468,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe,Maybe,No,No,Young
469,No,Yes,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No,Matured_Young
470,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Young
471,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Yes,No,Middle_Aged
472,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,Young
473,Yes,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,Yes,Matured_Young
474,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
475,Yes,Don't know,Don't know,Maybe,Maybe,No,No,No,Maybe,Don't know,No,Middle_Aged
476,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No,No,No,Yes,Young
477,Don't know,Don't know,Don't know,No,Maybe,Yes,Yes,Maybe,Yes,Don't know,No,Young
478,Don't know,Don't know,Very easy,Yes,No,No,No,No,Maybe,Don't know,No,Young
479,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Young
480,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,Young
481,Yes,Yes,Somewhat easy,Yes,Maybe,No,No,No,Yes,Don't know,No,Matured_Young
482,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Young
483,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
484,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Middle_Aged
485,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,No,Yes,Matured_Young
486,No,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,No,Young
487,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Young
488,No,Yes,Very easy,Maybe,No,Some of them,Yes,No,Maybe,Yes,No,Young
489,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,No,No,Matured_Young
490,Don't know,Yes,Don't know,No,No,No,Some of them,No,No,Yes,No,Young
491,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Young
492,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,No,Yes,Young
493,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,Yes,Young
494,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Young
495,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,Yes,Young
496,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No,No,No,Yes,Matured_Young
497,No,Yes,Somewhat difficult,Yes,No,Some of them,No,No,Maybe,No,Yes,Young
498,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,No,No,Middle_Aged
499,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Matured_Young
500,No,Yes,Don't know,Maybe,Maybe,No,No,No,No,No,No,Matured_Young
501,No,No,Don't know,Yes,Maybe,Some of them,No,No,Maybe,No,Yes,Matured_Young
502,Don't know,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Don't know,No,Matured_Young
503,Yes,Don't know,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,Young
504,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,No,No,Matured_Young
505,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Yes,No,Middle_Aged
506,No,Don't know,Very difficult,Maybe,No,Yes,Yes,Maybe,Yes,No,No,Matured_Young
507,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
508,Yes,Don't know,Very easy,No,No,Some of them,Yes,No,Yes,Yes,No,Middle_Aged
509,Don't know,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
510,Yes,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
511,No,No,Somewhat easy,Maybe,No,Some of them,No,No,No,Yes,No,Young
512,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Young
513,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Matured_Young
514,Yes,Yes,Don't know,Yes,No,No,No,No,No,No,No,Matured_Young
515,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Matured_Young
516,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,Middle_Aged
517,Yes,Yes,Very easy,Maybe,No,Yes,Yes,No,No,No,Yes,Matured_Young
518,No,Yes,Very easy,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,Matured_Young
519,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,No,No,No,No,Matured_Young
520,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,Maybe,Maybe,Yes,No,
521,Don't know,Yes,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
522,No,Don't know,Don't know,Maybe,Maybe,No,No,No,No,No,No,Matured_Young
523,Don't know,Don't know,Don't know,Maybe,Yes,No,No,No,No,Don't know,Yes,Young
524,No,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,Yes,No,Matured_Young
525,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,Matured_Young
526,Don't know,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Young
527,No,No,Somewhat difficult,Yes,Yes,No,No,No,No,Don't know,Yes,Middle_Aged
528,Yes,Yes,Very easy,No,No,No,Some of them,No,No,Yes,No,Young
529,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,No,Yes,No,Young
530,No,Don't know,Don't know,No,No,Some of them,Yes,No,Yes,Don't know,No,Young
531,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Yes,Yes,No,No,Young
532,No,No,Very difficult,Yes,Maybe,No,No,No,Maybe,No,No,Young
533,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
534,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,Young
535,No,No,Somewhat difficult,Yes,No,Some of them,Some of them,No,No,No,No,Young
536,Yes,Don't know,Somewhat easy,Yes,No,Some of them,Yes,No,No,No,No,Matured_Young
537,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,No,No,Young
538,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
539,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,No,Yes,Young
540,No,Don't know,Somewhat difficult,Maybe,No,No,No,No,Maybe,No,No,Young
541,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Young
542,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Yes,No,Matured_Young
543,Don't know,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,No,Yes,Young
544,No,Yes,Somewhat difficult,Yes,Yes,Some of them,Some of them,Yes,No,No,Yes,Young
545,No,Don't know,Very easy,Maybe,No,No,Some of them,No,Yes,Yes,No,Young
546,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
547,Yes,Don't know,Somewhat difficult,Yes,No,Some of them,Yes,No,Yes,No,No,Matured_Young
548,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
549,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,Young
550,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
551,No,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Matured_Young
552,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,Young
553,No,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,No,Yes,No,Young
554,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Yes,Don't know,No,Young
555,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
556,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
557,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,Maybe,Don't know,No,Matured_Young
558,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Young
559,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Yes,No,Young
560,No,Don't know,Very easy,Maybe,No,Some of them,No,No,No,Yes,No,
561,Don't know,Don't know,Don't know,No,No,Some of them,No,No,No,Yes,No,Young
562,Don't know,Yes,Very easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Matured_Young
563,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
564,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,No,No,No,Matured_Young
565,No,Yes,Somewhat difficult,Maybe,No,Some of them,No,No,Maybe,No,No,Young
566,Don't know,Yes,Don't know,Yes,Maybe,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
567,Yes,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Yes,Don't know,No,Matured_Young
568,Don't know,Don't know,Somewhat easy,Maybe,No,No,Some of them,No,Yes,No,No,Young
569,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Matured_Young
570,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Yes,No,Young
571,Yes,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Don't know,No,Matured_Young
572,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Yes,No,Young
573,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,No,Yes,Young
574,No,Don't know,Don't know,No,No,No,No,No,Maybe,No,No,Middle_Aged
575,Don't know,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Matured_Young
576,No,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,Young
577,No,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
578,No,Yes,Very difficult,Yes,No,Some of them,No,No,Yes,No,No,Young
579,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
580,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,Yes,Matured_Young
581,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Middle_Aged
582,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,No,No,Maybe,Don't know,Yes,Young
583,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
584,No,Yes,Don't know,Yes,No,Some of them,Yes,No,No,No,No,Young
585,No,Don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Don't know,No,Matured_Young
586,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,Yes,Young
